week,state,region,population_density_discretized,urban_percentage_discretized,confirmed_cases_discretized,confirmed_deaths_discretized,stringency_index_discretized,government_response_index_discretized,containment_health_index_discretized,economic_support_index_discretized
1,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
2,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
3,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
4,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
5,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
6,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
7,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
8,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
9,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
10,Alaska,Region10_Seattle,low,medium,low,low,1,1,1,1
11,Alaska,Region10_Seattle,low,medium,low,low,2,2,2,1
12,Alaska,Region10_Seattle,low,medium,low,low,4,3,3,2
13,Alaska,Region10_Seattle,low,medium,low,low,4,4,4,4
14,Alaska,Region10_Seattle,low,medium,low,low,5,4,4,5
15,Alaska,Region10_Seattle,low,medium,low,low,5,4,4,5
16,Alaska,Region10_Seattle,low,medium,low,low,5,4,4,5
17,Alaska,Region10_Seattle,low,medium,low,low,5,4,4,5
18,Alaska,Region10_Seattle,low,medium,low,low,4,4,4,5
19,Alaska,Region10_Seattle,low,medium,low,low,4,4,4,5
20,Alaska,Region10_Seattle,low,medium,low,low,4,4,4,5
21,Alaska,Region10_Seattle,low,medium,low,low,4,4,4,5
22,Alaska,Region10_Seattle,low,medium,low,low,4,4,4,5
23,Alaska,Region10_Seattle,low,medium,low,low,3,3,3,5
24,Alaska,Region10_Seattle,low,medium,low,low,3,3,3,5
25,Alaska,Region10_Seattle,low,medium,low,low,3,3,3,5
26,Alaska,Region10_Seattle,low,medium,low,low,3,3,3,5
27,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,5
28,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,5
29,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,5
30,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,5
31,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,4
32,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,4
33,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,4
34,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,4
35,Alaska,Region10_Seattle,low,medium,medium,low,3,4,4,4
36,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,4
37,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,4
38,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,4
39,Alaska,Region10_Seattle,low,medium,medium,medium,3,3,3,4
40,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,4
41,Alaska,Region10_Seattle,low,medium,high,low,3,3,3,4
42,Alaska,Region10_Seattle,low,medium,high,medium,3,3,3,4
43,Alaska,Region10_Seattle,low,medium,high,low,3,3,3,4
44,Alaska,Region10_Seattle,low,medium,high,high,3,3,3,4
45,Alaska,Region10_Seattle,low,medium,high,low,3,3,3,4
46,Alaska,Region10_Seattle,low,medium,high,medium,3,3,3,3
47,Alaska,Region10_Seattle,low,medium,high,low,3,3,3,2
48,Alaska,Region10_Seattle,low,medium,high,high,3,3,3,2
49,Alaska,Region10_Seattle,low,medium,high,high,4,3,4,2
50,Alaska,Region10_Seattle,low,medium,high,high,4,3,4,2
51,Alaska,Region10_Seattle,low,medium,high,medium,4,4,4,2
52,Alaska,Region10_Seattle,low,medium,high,medium,4,4,4,2
53,Alaska,Region10_Seattle,low,medium,high,medium,4,4,4,2
54,Alaska,Region10_Seattle,low,medium,high,medium,4,3,4,2
55,Alaska,Region10_Seattle,low,medium,high,low,4,3,3,2
56,Alaska,Region10_Seattle,low,medium,high,high,3,3,3,2
57,Alaska,Region10_Seattle,low,medium,high,low,3,3,3,2
58,Alaska,Region10_Seattle,low,medium,medium,high,3,3,3,2
59,Alaska,Region10_Seattle,low,medium,high,low,3,3,3,2
60,Alaska,Region10_Seattle,low,medium,medium,medium,3,3,3,2
61,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,2
62,Alaska,Region10_Seattle,low,medium,high,medium,3,3,3,2
63,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,2
64,Alaska,Region10_Seattle,low,medium,medium,low,3,3,3,2
65,Alaska,Region10_Seattle,low,medium,high,low,3,3,3,2
66,Alaska,Region10_Seattle,low,medium,high,low,3,3,3,2
67,Alaska,Region10_Seattle,low,medium,high,low,3,3,3,2
68,Alaska,Region10_Seattle,low,medium,high,high,3,3,3,2
1,Alabama,Region4_Atlanta,low,medium,low,low,1,1,1,1
2,Alabama,Region4_Atlanta,low,medium,low,low,1,1,1,1
3,Alabama,Region4_Atlanta,low,medium,low,low,1,1,1,1
4,Alabama,Region4_Atlanta,low,medium,low,low,1,1,1,1
5,Alabama,Region4_Atlanta,low,medium,low,low,1,1,1,1
6,Alabama,Region4_Atlanta,low,medium,low,low,1,1,1,1
7,Alabama,Region4_Atlanta,low,medium,low,low,1,1,1,1
8,Alabama,Region4_Atlanta,low,medium,low,low,1,1,1,1
9,Alabama,Region4_Atlanta,low,medium,low,low,1,1,1,1
10,Alabama,Region4_Atlanta,low,medium,low,low,1,1,1,1
11,Alabama,Region4_Atlanta,low,medium,low,low,2,2,2,1
12,Alabama,Region4_Atlanta,low,medium,low,low,3,3,3,1
13,Alabama,Region4_Atlanta,low,medium,low,low,4,3,3,2
14,Alabama,Region4_Atlanta,low,medium,low,medium,4,4,4,4
15,Alabama,Region4_Atlanta,low,medium,low,medium,4,4,4,4
16,Alabama,Region4_Atlanta,low,medium,low,medium,4,4,4,4
17,Alabama,Region4_Atlanta,low,medium,low,medium,4,4,4,4
18,Alabama,Region4_Atlanta,low,medium,low,medium,4,4,4,4
19,Alabama,Region4_Atlanta,low,medium,medium,medium,4,4,4,4
20,Alabama,Region4_Atlanta,low,medium,medium,medium,4,4,4,4
21,Alabama,Region4_Atlanta,low,medium,medium,medium,4,4,4,4
22,Alabama,Region4_Atlanta,low,medium,medium,medium,3,4,3,4
23,Alabama,Region4_Atlanta,low,medium,medium,medium,3,4,4,4
24,Alabama,Region4_Atlanta,low,medium,medium,medium,3,3,3,4
25,Alabama,Region4_Atlanta,low,medium,medium,medium,3,3,3,4
26,Alabama,Region4_Atlanta,low,medium,medium,medium,3,3,3,4
27,Alabama,Region4_Atlanta,low,medium,high,medium,3,3,3,4
28,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,4
29,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,4
30,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,4
31,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,3
32,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
33,Alabama,Region4_Atlanta,low,medium,medium,high,3,3,3,2
34,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
35,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
36,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
37,Alabama,Region4_Atlanta,low,medium,medium,medium,3,3,3,2
38,Alabama,Region4_Atlanta,low,medium,medium,medium,3,3,3,2
39,Alabama,Region4_Atlanta,low,medium,high,medium,3,3,3,2
40,Alabama,Region4_Atlanta,low,medium,high,medium,3,3,3,2
41,Alabama,Region4_Atlanta,low,medium,high,medium,3,3,3,2
42,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
43,Alabama,Region4_Atlanta,low,medium,high,medium,3,3,3,2
44,Alabama,Region4_Atlanta,low,medium,high,medium,3,3,3,2
45,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
46,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
47,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
48,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
49,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
50,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
51,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
52,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
53,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
54,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
55,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
56,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
57,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
58,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
59,Alabama,Region4_Atlanta,low,medium,high,high,3,3,3,2
60,Alabama,Region4_Atlanta,low,medium,medium,high,3,3,3,2
61,Alabama,Region4_Atlanta,low,medium,medium,high,3,3,3,2
62,Alabama,Region4_Atlanta,low,medium,medium,high,3,3,3,3
63,Alabama,Region4_Atlanta,low,medium,medium,high,3,3,3,3
64,Alabama,Region4_Atlanta,low,medium,high,medium,3,3,3,3
65,Alabama,Region4_Atlanta,low,medium,medium,medium,3,3,3,3
66,Alabama,Region4_Atlanta,low,medium,medium,high,3,3,3,3
67,Alabama,Region4_Atlanta,low,medium,medium,medium,3,3,3,1
68,Alabama,Region4_Atlanta,low,medium,medium,medium,2,3,3,1
1,Arkansas,Region6_Dallas,low,medium,low,low,1,1,1,1
2,Arkansas,Region6_Dallas,low,medium,low,low,1,1,1,1
3,Arkansas,Region6_Dallas,low,medium,low,low,1,1,1,1
4,Arkansas,Region6_Dallas,low,medium,low,low,1,1,1,1
5,Arkansas,Region6_Dallas,low,medium,low,low,1,1,1,1
6,Arkansas,Region6_Dallas,low,medium,low,low,1,1,1,1
7,Arkansas,Region6_Dallas,low,medium,low,low,1,1,1,1
8,Arkansas,Region6_Dallas,low,medium,low,low,1,1,1,1
9,Arkansas,Region6_Dallas,low,medium,low,low,1,1,1,1
10,Arkansas,Region6_Dallas,low,medium,low,low,1,1,1,1
11,Arkansas,Region6_Dallas,low,medium,low,low,1,1,2,1
12,Arkansas,Region6_Dallas,low,medium,low,low,3,3,3,2
13,Arkansas,Region6_Dallas,low,medium,low,low,4,3,3,3
14,Arkansas,Region6_Dallas,low,medium,low,low,4,3,3,4
15,Arkansas,Region6_Dallas,low,medium,low,low,4,3,3,4
16,Arkansas,Region6_Dallas,low,medium,low,low,4,3,3,4
17,Arkansas,Region6_Dallas,low,medium,medium,low,4,4,4,4
18,Arkansas,Region6_Dallas,low,medium,low,medium,4,4,4,4
19,Arkansas,Region6_Dallas,low,medium,low,low,4,3,3,4
20,Arkansas,Region6_Dallas,low,medium,low,low,4,4,4,4
21,Arkansas,Region6_Dallas,low,medium,medium,low,4,4,4,4
22,Arkansas,Region6_Dallas,low,medium,medium,low,4,4,4,4
23,Arkansas,Region6_Dallas,low,medium,medium,medium,4,4,4,4
24,Arkansas,Region6_Dallas,low,medium,medium,medium,4,4,4,4
25,Arkansas,Region6_Dallas,low,medium,medium,medium,4,4,4,4
26,Arkansas,Region6_Dallas,low,medium,high,medium,4,4,4,4
27,Arkansas,Region6_Dallas,low,medium,medium,medium,4,4,4,4
28,Arkansas,Region6_Dallas,low,medium,high,medium,4,4,4,4
29,Arkansas,Region6_Dallas,low,medium,high,medium,4,4,4,4
30,Arkansas,Region6_Dallas,low,medium,high,medium,4,4,4,4
31,Arkansas,Region6_Dallas,low,medium,high,medium,4,4,4,3
32,Arkansas,Region6_Dallas,low,medium,high,high,4,3,4,1
33,Arkansas,Region6_Dallas,low,medium,medium,medium,4,3,4,1
34,Arkansas,Region6_Dallas,low,medium,medium,high,4,3,4,1
35,Arkansas,Region6_Dallas,low,medium,high,high,3,3,4,1
36,Arkansas,Region6_Dallas,low,medium,high,high,3,3,4,2
37,Arkansas,Region6_Dallas,low,medium,high,high,3,3,4,2
38,Arkansas,Region6_Dallas,low,medium,high,high,3,3,4,2
39,Arkansas,Region6_Dallas,low,medium,high,high,3,3,4,2
40,Arkansas,Region6_Dallas,low,medium,high,high,3,3,4,2
41,Arkansas,Region6_Dallas,low,medium,high,high,3,4,4,2
42,Arkansas,Region6_Dallas,low,medium,high,high,3,4,4,2
43,Arkansas,Region6_Dallas,low,medium,high,high,3,3,4,2
44,Arkansas,Region6_Dallas,low,medium,high,high,3,3,4,2
45,Arkansas,Region6_Dallas,low,medium,high,high,3,3,4,2
46,Arkansas,Region6_Dallas,low,medium,high,high,3,3,4,2
47,Arkansas,Region6_Dallas,low,medium,high,high,3,3,3,2
48,Arkansas,Region6_Dallas,low,medium,high,high,3,3,3,2
49,Arkansas,Region6_Dallas,low,medium,high,high,3,3,3,2
50,Arkansas,Region6_Dallas,low,medium,high,high,3,3,3,2
51,Arkansas,Region6_Dallas,low,medium,high,high,3,3,4,2
52,Arkansas,Region6_Dallas,low,medium,high,high,3,3,4,2
53,Arkansas,Region6_Dallas,low,medium,high,high,3,4,4,3
54,Arkansas,Region6_Dallas,low,medium,high,high,3,4,4,3
55,Arkansas,Region6_Dallas,low,medium,high,high,3,4,4,3
56,Arkansas,Region6_Dallas,low,medium,high,high,3,4,4,3
57,Arkansas,Region6_Dallas,low,medium,high,high,3,4,4,3
58,Arkansas,Region6_Dallas,low,medium,high,high,3,4,4,3
59,Arkansas,Region6_Dallas,low,medium,high,high,3,4,4,3
60,Arkansas,Region6_Dallas,low,medium,medium,high,3,4,4,3
61,Arkansas,Region6_Dallas,low,medium,high,medium,3,4,4,3
62,Arkansas,Region6_Dallas,low,medium,medium,high,3,3,4,3
63,Arkansas,Region6_Dallas,low,medium,medium,high,3,3,4,3
64,Arkansas,Region6_Dallas,low,medium,medium,medium,3,3,3,3
65,Arkansas,Region6_Dallas,low,medium,medium,medium,3,3,3,3
66,Arkansas,Region6_Dallas,low,medium,low,medium,3,3,3,2
67,Arkansas,Region6_Dallas,low,medium,low,low,3,3,3,2
68,Arkansas,Region6_Dallas,low,medium,medium,medium,3,3,3,2
1,Arizona,Region9_SanFrancisco,low,high,low,low,1,1,1,1
2,Arizona,Region9_SanFrancisco,low,high,low,low,1,1,1,1
3,Arizona,Region9_SanFrancisco,low,high,low,low,1,1,1,1
4,Arizona,Region9_SanFrancisco,low,high,low,low,1,1,1,1
5,Arizona,Region9_SanFrancisco,low,high,low,low,1,1,1,1
6,Arizona,Region9_SanFrancisco,low,high,low,low,1,1,1,1
7,Arizona,Region9_SanFrancisco,low,high,low,low,1,1,1,1
8,Arizona,Region9_SanFrancisco,low,high,low,low,1,1,1,1
9,Arizona,Region9_SanFrancisco,low,high,low,low,1,1,1,1
10,Arizona,Region9_SanFrancisco,low,high,low,low,1,1,1,1
11,Arizona,Region9_SanFrancisco,low,high,low,low,2,2,2,1
12,Arizona,Region9_SanFrancisco,low,high,low,low,3,2,2,1
13,Arizona,Region9_SanFrancisco,low,high,low,low,3,3,2,3
14,Arizona,Region9_SanFrancisco,low,high,low,low,3,3,3,4
15,Arizona,Region9_SanFrancisco,low,high,low,medium,4,3,3,4
16,Arizona,Region9_SanFrancisco,low,high,low,medium,4,3,3,4
17,Arizona,Region9_SanFrancisco,low,high,low,medium,4,3,3,4
18,Arizona,Region9_SanFrancisco,low,high,low,medium,4,3,3,4
19,Arizona,Region9_SanFrancisco,low,high,low,high,4,3,3,4
20,Arizona,Region9_SanFrancisco,low,high,medium,medium,4,3,3,4
21,Arizona,Region9_SanFrancisco,low,high,low,medium,3,3,3,4
22,Arizona,Region9_SanFrancisco,low,high,medium,medium,3,3,3,4
23,Arizona,Region9_SanFrancisco,low,high,medium,medium,3,3,3,4
24,Arizona,Region9_SanFrancisco,low,high,medium,medium,3,3,3,4
25,Arizona,Region9_SanFrancisco,low,high,high,medium,3,3,3,4
26,Arizona,Region9_SanFrancisco,low,high,high,high,3,3,3,4
27,Arizona,Region9_SanFrancisco,low,high,high,high,3,3,3,4
28,Arizona,Region9_SanFrancisco,low,high,high,high,3,3,3,4
29,Arizona,Region9_SanFrancisco,low,high,high,high,3,3,3,4
30,Arizona,Region9_SanFrancisco,low,high,high,high,3,3,3,4
31,Arizona,Region9_SanFrancisco,low,high,high,high,3,3,3,4
32,Arizona,Region9_SanFrancisco,low,high,medium,high,4,4,4,4
33,Arizona,Region9_SanFrancisco,low,high,medium,high,4,4,4,4
34,Arizona,Region9_SanFrancisco,low,high,medium,high,4,4,4,4
35,Arizona,Region9_SanFrancisco,low,high,medium,high,3,3,3,4
36,Arizona,Region9_SanFrancisco,low,high,medium,high,3,3,3,4
37,Arizona,Region9_SanFrancisco,low,high,medium,medium,3,3,3,4
38,Arizona,Region9_SanFrancisco,low,high,medium,medium,3,3,3,4
39,Arizona,Region9_SanFrancisco,low,high,medium,medium,3,3,3,4
40,Arizona,Region9_SanFrancisco,low,high,medium,medium,3,3,3,4
41,Arizona,Region9_SanFrancisco,low,high,medium,medium,3,3,3,4
42,Arizona,Region9_SanFrancisco,low,high,medium,medium,3,3,3,4
43,Arizona,Region9_SanFrancisco,low,high,medium,low,3,3,3,4
44,Arizona,Region9_SanFrancisco,low,high,medium,medium,3,3,3,3
45,Arizona,Region9_SanFrancisco,low,high,high,high,3,3,3,1
46,Arizona,Region9_SanFrancisco,low,high,high,medium,3,3,3,4
47,Arizona,Region9_SanFrancisco,low,high,high,high,3,3,3,4
48,Arizona,Region9_SanFrancisco,low,high,high,high,3,3,3,4
49,Arizona,Region9_SanFrancisco,low,high,high,high,3,3,3,4
50,Arizona,Region9_SanFrancisco,low,high,high,high,3,4,4,4
51,Arizona,Region9_SanFrancisco,low,high,high,high,3,4,4,4
52,Arizona,Region9_SanFrancisco,low,high,high,high,3,4,4,4
53,Arizona,Region9_SanFrancisco,low,high,high,high,3,4,4,4
54,Arizona,Region9_SanFrancisco,low,high,high,high,4,4,4,3
55,Arizona,Region9_SanFrancisco,low,high,high,high,4,3,4,2
56,Arizona,Region9_SanFrancisco,low,high,high,high,4,4,4,2
57,Arizona,Region9_SanFrancisco,low,high,high,high,4,4,4,2
58,Arizona,Region9_SanFrancisco,low,high,high,high,4,4,4,2
59,Arizona,Region9_SanFrancisco,low,high,high,high,4,4,4,2
60,Arizona,Region9_SanFrancisco,low,high,high,high,4,4,4,2
61,Arizona,Region9_SanFrancisco,low,high,medium,high,4,4,4,2
62,Arizona,Region9_SanFrancisco,low,high,high,high,3,4,4,2
63,Arizona,Region9_SanFrancisco,low,high,medium,high,3,3,3,2
64,Arizona,Region9_SanFrancisco,low,high,medium,high,3,3,3,2
65,Arizona,Region9_SanFrancisco,low,high,medium,high,3,3,3,2
66,Arizona,Region9_SanFrancisco,low,high,medium,medium,3,3,3,2
67,Arizona,Region9_SanFrancisco,low,high,medium,medium,3,3,3,2
68,Arizona,Region9_SanFrancisco,low,high,medium,medium,3,3,3,2
1,California,Region9_SanFrancisco,low,high,low,low,1,1,1,1
2,California,Region9_SanFrancisco,low,high,low,low,1,1,1,1
3,California,Region9_SanFrancisco,low,high,low,low,1,1,1,1
4,California,Region9_SanFrancisco,low,high,low,low,1,1,1,1
5,California,Region9_SanFrancisco,low,high,low,low,1,1,1,1
6,California,Region9_SanFrancisco,low,high,low,low,1,1,1,1
7,California,Region9_SanFrancisco,low,high,low,low,1,1,1,1
8,California,Region9_SanFrancisco,low,high,low,low,1,1,1,1
9,California,Region9_SanFrancisco,low,high,low,low,1,1,1,1
10,California,Region9_SanFrancisco,low,high,low,low,1,1,1,2
11,California,Region9_SanFrancisco,low,high,low,low,2,2,2,4
12,California,Region9_SanFrancisco,low,high,low,low,4,4,4,5
13,California,Region9_SanFrancisco,low,high,low,low,5,4,4,5
14,California,Region9_SanFrancisco,low,high,low,low,5,4,4,5
15,California,Region9_SanFrancisco,low,high,low,medium,5,4,4,5
16,California,Region9_SanFrancisco,low,high,low,medium,5,4,4,5
17,California,Region9_SanFrancisco,low,high,low,medium,5,4,4,5
18,California,Region9_SanFrancisco,low,high,low,medium,5,4,4,5
19,California,Region9_SanFrancisco,low,high,low,medium,4,4,4,5
20,California,Region9_SanFrancisco,low,high,low,medium,4,4,4,5
21,California,Region9_SanFrancisco,low,high,low,medium,4,4,4,5
22,California,Region9_SanFrancisco,low,high,medium,medium,4,4,4,5
23,California,Region9_SanFrancisco,low,high,medium,medium,4,4,4,5
24,California,Region9_SanFrancisco,low,high,medium,medium,4,4,4,5
25,California,Region9_SanFrancisco,low,high,medium,medium,4,4,4,5
26,California,Region9_SanFrancisco,low,high,medium,medium,4,4,4,5
27,California,Region9_SanFrancisco,low,high,medium,medium,4,4,4,5
28,California,Region9_SanFrancisco,low,high,high,medium,4,4,4,5
29,California,Region9_SanFrancisco,low,high,high,medium,4,4,4,5
30,California,Region9_SanFrancisco,low,high,high,medium,4,4,4,5
31,California,Region9_SanFrancisco,low,high,high,high,4,4,4,5
32,California,Region9_SanFrancisco,low,high,medium,high,4,4,4,5
33,California,Region9_SanFrancisco,low,high,high,medium,4,4,4,5
34,California,Region9_SanFrancisco,low,high,medium,high,4,4,4,5
35,California,Region9_SanFrancisco,low,high,medium,medium,4,4,4,5
36,California,Region9_SanFrancisco,low,high,medium,medium,4,4,4,5
37,California,Region9_SanFrancisco,low,high,medium,medium,4,4,4,5
38,California,Region9_SanFrancisco,low,high,medium,medium,4,4,4,5
39,California,Region9_SanFrancisco,low,high,medium,medium,4,4,4,5
40,California,Region9_SanFrancisco,low,high,medium,medium,4,4,4,5
41,California,Region9_SanFrancisco,low,high,medium,medium,4,4,4,5
42,California,Region9_SanFrancisco,low,high,medium,medium,4,4,4,5
43,California,Region9_SanFrancisco,low,high,medium,medium,4,4,4,5
44,California,Region9_SanFrancisco,low,high,medium,medium,3,4,4,5
45,California,Region9_SanFrancisco,low,high,medium,medium,3,4,4,5
46,California,Region9_SanFrancisco,low,high,high,medium,3,4,4,5
47,California,Region9_SanFrancisco,low,high,high,medium,3,4,4,5
48,California,Region9_SanFrancisco,low,high,high,medium,4,4,4,5
49,California,Region9_SanFrancisco,low,high,high,medium,4,4,4,5
50,California,Region9_SanFrancisco,low,high,high,high,4,4,4,5
51,California,Region9_SanFrancisco,low,high,high,high,4,4,4,5
52,California,Region9_SanFrancisco,low,high,high,high,4,4,4,5
53,California,Region9_SanFrancisco,low,high,high,high,4,4,4,5
54,California,Region9_SanFrancisco,low,high,high,high,4,4,4,5
55,California,Region9_SanFrancisco,low,high,high,high,4,4,4,5
56,California,Region9_SanFrancisco,low,high,high,high,4,4,4,5
57,California,Region9_SanFrancisco,low,high,high,high,4,4,4,5
58,California,Region9_SanFrancisco,low,high,high,high,4,4,4,5
59,California,Region9_SanFrancisco,low,high,high,high,4,4,4,5
60,California,Region9_SanFrancisco,low,high,medium,high,4,4,4,5
61,California,Region9_SanFrancisco,low,high,medium,high,4,4,4,5
62,California,Region9_SanFrancisco,low,high,medium,high,3,4,4,5
63,California,Region9_SanFrancisco,low,high,medium,high,3,4,3,5
64,California,Region9_SanFrancisco,low,high,medium,high,3,4,4,5
65,California,Region9_SanFrancisco,low,high,medium,high,3,4,4,5
66,California,Region9_SanFrancisco,low,high,medium,medium,3,4,4,5
67,California,Region9_SanFrancisco,low,high,medium,medium,3,4,4,5
68,California,Region9_SanFrancisco,low,high,medium,medium,3,4,4,5
1,Colorado,Region8_Denver,low,high,low,low,1,1,1,1
2,Colorado,Region8_Denver,low,high,low,low,1,1,1,1
3,Colorado,Region8_Denver,low,high,low,low,1,1,1,1
4,Colorado,Region8_Denver,low,high,low,low,1,1,1,1
5,Colorado,Region8_Denver,low,high,low,low,1,1,1,1
6,Colorado,Region8_Denver,low,high,low,low,1,1,1,1
7,Colorado,Region8_Denver,low,high,low,low,1,1,1,1
8,Colorado,Region8_Denver,low,high,low,low,1,1,1,1
9,Colorado,Region8_Denver,low,high,low,low,1,1,1,1
10,Colorado,Region8_Denver,low,high,low,low,1,1,1,1
11,Colorado,Region8_Denver,low,high,low,low,2,2,2,2
12,Colorado,Region8_Denver,low,high,low,low,3,3,3,3
13,Colorado,Region8_Denver,low,high,low,medium,4,4,4,5
14,Colorado,Region8_Denver,low,high,medium,medium,5,4,4,5
15,Colorado,Region8_Denver,low,high,medium,high,5,4,4,5
16,Colorado,Region8_Denver,low,high,medium,high,5,4,4,5
17,Colorado,Region8_Denver,low,high,medium,high,5,4,4,5
18,Colorado,Region8_Denver,low,high,medium,high,4,4,4,5
19,Colorado,Region8_Denver,low,high,medium,high,4,4,4,5
20,Colorado,Region8_Denver,low,high,medium,high,4,4,4,5
21,Colorado,Region8_Denver,low,high,medium,medium,4,4,4,5
22,Colorado,Region8_Denver,low,high,medium,medium,4,4,4,5
23,Colorado,Region8_Denver,low,high,low,medium,4,4,4,5
24,Colorado,Region8_Denver,low,high,low,medium,4,4,4,5
25,Colorado,Region8_Denver,low,high,low,medium,4,4,4,5
26,Colorado,Region8_Denver,low,high,low,low,4,4,3,5
27,Colorado,Region8_Denver,low,high,low,low,4,4,3,5
28,Colorado,Region8_Denver,low,high,medium,low,4,4,3,5
29,Colorado,Region8_Denver,low,high,medium,low,4,4,3,5
30,Colorado,Region8_Denver,low,high,medium,medium,4,4,4,5
31,Colorado,Region8_Denver,low,high,medium,medium,4,4,4,4
32,Colorado,Region8_Denver,low,high,medium,low,4,4,4,4
33,Colorado,Region8_Denver,low,high,medium,low,4,4,4,4
34,Colorado,Region8_Denver,low,high,low,low,4,4,4,4
35,Colorado,Region8_Denver,low,high,low,low,4,4,4,4
36,Colorado,Region8_Denver,low,high,low,low,4,4,4,4
37,Colorado,Region8_Denver,low,high,low,low,4,3,3,4
38,Colorado,Region8_Denver,low,high,medium,low,3,3,3,4
39,Colorado,Region8_Denver,low,high,medium,low,3,3,3,4
40,Colorado,Region8_Denver,low,high,medium,low,3,3,3,4
41,Colorado,Region8_Denver,low,high,medium,medium,3,3,3,4
42,Colorado,Region8_Denver,low,high,medium,medium,3,3,3,4
43,Colorado,Region8_Denver,low,high,high,medium,3,3,3,4
44,Colorado,Region8_Denver,low,high,high,medium,3,3,3,4
45,Colorado,Region8_Denver,low,high,high,medium,3,3,3,4
46,Colorado,Region8_Denver,low,high,high,high,3,3,3,4
47,Colorado,Region8_Denver,low,high,high,high,3,3,3,4
48,Colorado,Region8_Denver,low,high,high,high,3,3,3,4
49,Colorado,Region8_Denver,low,high,high,high,3,3,3,4
50,Colorado,Region8_Denver,low,high,high,high,3,3,3,4
51,Colorado,Region8_Denver,low,high,high,high,3,4,4,4
52,Colorado,Region8_Denver,low,high,high,high,3,4,4,4
53,Colorado,Region8_Denver,low,high,high,high,3,4,4,4
54,Colorado,Region8_Denver,low,high,high,high,3,4,4,4
55,Colorado,Region8_Denver,low,high,high,high,3,3,3,4
56,Colorado,Region8_Denver,low,high,high,medium,4,3,3,4
57,Colorado,Region8_Denver,low,high,high,high,4,4,4,4
58,Colorado,Region8_Denver,low,high,high,medium,3,3,3,4
59,Colorado,Region8_Denver,low,high,high,medium,3,3,3,4
60,Colorado,Region8_Denver,low,high,medium,medium,3,3,3,4
61,Colorado,Region8_Denver,low,high,high,medium,3,3,3,4
62,Colorado,Region8_Denver,low,high,high,medium,3,3,3,4
63,Colorado,Region8_Denver,low,high,medium,medium,3,3,3,4
64,Colorado,Region8_Denver,low,high,medium,low,3,3,3,4
65,Colorado,Region8_Denver,low,high,high,low,3,3,3,4
66,Colorado,Region8_Denver,low,high,high,low,3,4,4,4
67,Colorado,Region8_Denver,low,high,high,low,3,4,4,4
68,Colorado,Region8_Denver,low,high,high,medium,3,4,4,4
1,Connecticut,Region1_Boston,medium,high,low,low,1,1,1,1
2,Connecticut,Region1_Boston,medium,high,low,low,1,1,1,1
3,Connecticut,Region1_Boston,medium,high,low,low,1,1,1,1
