week,state,stringency_index,government_response_index,containment_health_index,economic_support_index,c1_school_closing,c1_flag,c2_workplace_closing,c2_flag,c3_cancel_public_events,c3_flag,c4_restrictions_on_gatherings,c4_flag,c5_close_public_transport,c5_flag,c6_stay_at_home_requirements,c6_flag,c7_movementrestrictions,c7_flag,c8_internationaltravel,e1_income_support,e1_flag,e2_debtrelief,h1_public_information_campaigns,h1_flag,h2_testing_policy,h3_contact_tracing,h6_facial_coverings,h6_flag,h7_vaccination_policy,h7_flag,h8_protection_of_elderly_people,h8_flag,confirmed_cases,confirmed_deaths,region,population_density,urban_percentage,confirmed_cases_discretized,confirmed_deaths_discretized,stringency_index_discretized,government_response_index_discretized,containment_health_index_discretized,economic_support_index_discretized,urban_percentage_discretized,population_density_normalized,population_density_discretized
54,Alaska,61.57,59.269999999999996,62.38,37.5,3.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,3.0,0.0,2.0,1.0,2.0,1.0,287.6261,1.2211,Region10_Seattle,1.28,66.0,high,medium,4,3,4,2,medium,0.0,low
55,Alaska,61.57,55.36000000000001,57.92000000000001,37.5,3.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,2.0,1.0,233.4927,0.6784,Region10_Seattle,1.28,66.0,high,low,4,3,3,2,medium,0.0,low
56,Alaska,58.39857142857143,56.37,59.06571428571429,37.5,2.142857142857143,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,2.142857142857143,0.0,2.0,1.0,2.0,1.0,186.8213,4.0702,Region10_Seattle,1.28,66.0,high,high,3,3,3,2,medium,0.0,low
57,Alaska,57.87,57.19,60.0,37.5,2.0,0.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,3.0,0.0,2.0,1.0,2.0,1.0,137.5721,0.407,Region10_Seattle,1.28,66.0,high,low,3,3,3,2,medium,0.0,low
58,Alaska,55.09000000000002,55.62,58.209999999999994,37.5,2.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,3.0,0.0,2.0,1.0,2.0,1.0,123.5978,2.3064,Region10_Seattle,1.28,66.0,medium,high,3,3,3,2,medium,0.0,low
59,Alaska,55.09000000000002,56.339999999999996,59.02714285714285,37.5,2.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,3.0,0.0,2.5714285714285716,1.0,2.0,1.0,156.0236,0.407,Region10_Seattle,1.28,66.0,high,low,3,3,3,2,medium,0.0,low
60,Alaska,55.09000000000002,56.88,59.63999999999999,37.5,2.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,3.0,0.0,3.0,1.0,2.0,1.0,134.9943,0.9497,Region10_Seattle,1.28,66.0,medium,medium,3,3,3,2,medium,0.0,low
61,Alaska,55.09000000000002,56.88,59.63999999999999,37.5,2.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,3.0,0.0,3.0,1.0,2.0,1.0,120.7487,0.1357,Region10_Seattle,1.28,66.0,medium,low,3,3,3,2,medium,0.0,low
62,Alaska,55.09000000000002,56.88,59.63999999999999,37.5,2.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,3.0,0.0,3.0,1.0,2.0,1.0,140.9639,2.0351,Region10_Seattle,1.28,66.0,high,medium,3,3,3,2,medium,0.0,low
63,Alaska,55.09000000000002,57.17,59.98142857142857,37.5,2.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,3.0,1.0,3.0,0.0,3.7142857142857144,1.0,1.7142857142857142,0.8571428571428571,126.4469,0.1357,Region10_Seattle,1.28,66.0,medium,low,3,3,3,2,medium,0.0,low
