100	100	3400	0
100	90	6800	0
100	80	10200	0
100	70	13600	0
100	60	17000	0
100	50	20400	0
100	40	23800	0
100	30	27200	0
100	20	30600	0
100	10	34000	0
100	0	37400	0
95	100	40800	0
95	90	44200	0
95	80	47600	0
95	70	51000	0
95	60	54400	0
95	50	57800	0
95	40	61200	0
95	30	64600	0
95	20	68000	0
95	10	71400	0
95	0	74800	0
90	100	78200	0
90	90	81600	0
90	80	85000	0
90	70	88400	0
90	60	91800	0
90	50	95200	0
90	40	98600	0
90	30	102000	0
90	20	105400	0
90	10	108800	0
90	0	112200	0
85	100	115600	0
85	90	119000	0
85	80	122400	0
85	70	125800	0
85	60	129200	0
85	50	132600	0
85	40	136000	0
85	30	139400	0
85	20	142800	0
85	10	146200	0
85	0	149600	0
80	100	153000	0
80	90	156400	0
80	80	159800	0
80	70	163200	0
80	60	166600	0
80	50	170000	0
80	40	173400	0
80	30	176800	0
80	20	180200	0
80	10	183600	0
80	0	187000	0
75	100	190400	0
75	90	193800	0
75	80	197200	0
75	70	200600	0
75	60	204000	0
75	50	207400	0
75	40	210800	0
75	30	214200	0
75	20	217600	0
75	10	221000	0
75	0	224400	0
70	100	227800	0
70	90	231200	0
70	80	234600	0
70	70	238000	0
70	60	241400	0
70	50	244800	0
70	40	248200	0
70	30	251600	0
70	20	255000	0
70	10	258400	0
70	0	261800	0
65	100	265200	0
65	90	268600	0
65	80	272000	0
65	70	275400	0
65	60	278800	0
65	50	282200	0
65	40	285600	0
65	30	289000	0
65	20	292400	0
65	10	295800	0
65	0	299200	0
60	100	302600	0
60	90	306000	0
60	80	309400	0
60	70	312800	0
60	60	316200	0
60	50	319600	0
60	40	323000	0
60	30	326400	0
60	20	329800	0
60	10	333200	0
60	0	336600	0
55	100	340000	0
55	90	343400	0
55	80	346800	0
55	70	350200	0
55	60	353600	0
55	50	357000	0
55	40	360400	0
55	30	363800	0
55	20	367200	0
55	10	370600	0
55	0	374000	0
50	100	377400	0
50	90	380800	0
50	80	384200	0
50	70	387600	0
50	60	391000	0
50	50	394400	0
50	40	397800	0
50	30	401200	0
50	20	404600	0
50	10	408000	0
50	0	411400	0
45	100	414800	0
45	90	418200	0
45	80	421600	0
45	70	425000	0
45	60	428400	0
45	50	431800	0
45	40	435200	0
45	30	438600	0
45	20	442000	0
45	10	445400	0
45	0	448800	0
40	100	452200	0
40	90	455600	0
40	80	459000	0
40	70	462400	0
40	60	465800	0
40	50	469200	0
40	40	472600	0
40	30	476000	0
40	20	479400	0
40	10	482800	0
40	0	486200	0
35	100	489600	0
35	90	493000	0
35	80	496400	0
35	70	499800	0
35	60	503200	0
35	50	506600	0
35	40	510000	0
35	30	513400	0
35	20	516800	0
35	10	520200	0
35	0	523600	0
30	100	527000	0
30	90	530400	0
30	80	533800	0
30	70	537200	0
30	60	540600	0
30	50	544000	0
30	40	547400	0
30	30	550800	0
30	20	554200	0
30	10	557600	0
30	0	561000	0
25	100	564400	0
25	90	567800	0
25	80	571200	0
25	70	574600	0
25	60	578000	0
25	50	581400	0
25	40	584800	0
25	30	588200	3
25	20	591600	3
25	10	595000	3
25	0	598400	3
20	100	601800	0
20	90	605200	0
20	80	608600	0
20	70	612000	0
20	60	615400	0
20	50	618800	2
20	40	622200	3
20	30	625600	6
20	20	629000	6
20	10	632400	6
20	0	635800	6
15	100	639200	2
15	90	642600	3
15	80	646000	3
15	70	649400	3
15	60	652800	3
15	50	656200	12
15	40	659600	18
15	30	663000	33
15	20	666400	33
15	10	669800	33
15	0	673200	33
10	100	676600	16
10	90	680000	30
10	80	683400	30
10	70	686800	30
10	60	690200	44
10	50	693600	54
10	40	697000	69
10	30	700400	104
10	20	703800	108
10	10	707200	108
10	0	710600	108
5	100	714000	38
5	90	717400	60
5	80	720800	60
5	70	724200	60
5	60	727600	78
5	50	731000	115
5	40	734400	192
5	30	737800	282
5	20	741200	312
5	10	744600	317
5	0	748000	317
0	100	751400	5842
0	90	754800	6133
0	80	758200	6964
0	70	761600	7820
0	60	765000	9428
0	50	768400	12379
0	40	771800	14918
0	30	775200	17733
0	20	778600	20391
0	10	782000	22599
0	0	785400	24472
